Name,Address,Phone,State,ProfileURL,Website,ID
Ballarat Dentist Dr Don Anderson,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat/ballarat-dentist-dr-don-anderson/A11003631,,A11003631
Ballarat Health Services - Dental Clinic,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat/ballarat-health-services---dental-clinic/A14012056,,A14012056
SmileWorks Dental Ballarat,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat/smileworks-dental-ballarat/A11002827,,A11002827
Primary Dental Ballarat,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat/primary-dental-ballarat/A11002337,,A11002337
Fixed Teeth Australia,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat/fixed-teeth-australia/A12010665,,A12010665
Ballarat Orthodontic Practice,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat/ballarat-orthodontic-practice/A11003633,,A11003633
Potter Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat/potter-dental/A11002486,,A11002486
Ashmore Dentistry,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat/ashmore-dentistry/A11003623,,A11003623
Orthodontist,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat/orthodontist/A11006534,,A11006534
Ballarat Dental Group,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat/ballarat-dental-group/A11003626,,A11003626
Bakery Hill Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bakery-hill/bakery-hill-dental/A11000371,,A11000371
Dr Virginia Williams Dental Practice,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat-central/dr-virginia-williams-dental-practice/A11003627,,A11003627
Whitehills Dental Practice,,,VIC,https://www.dentist.com.au/dentist-detail/vic/white-hills/whitehills-dental-practice/A24019533,,A24019533
Castlemaine Smiles Dentist,,,VIC,https://www.dentist.com.au/dentist-detail/vic/castlemaine/castlemaine-smiles-dentist/A11003677,,A11003677
McCrae Dental Surgery,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/national-dental-care---mccrae-dental-surgery/A11003656,,A11003656
Integrated Smiles Bendigo,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/integrated-smiles-bendigo/A11003669,,A11003669
Clarity Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/clarity-dental/A14012227,,A14012227
Bendigo Dental Implants,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/bendigo-dental-implants/A12010644,,A12010644
Dental Innovations on Condon,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/dental-innovations-on-condon/A12010645,,A12010645
Dental Innovations on Sternberg,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/dental-innovations-on-sternberg/A11002904,,A11002904
Bendigo Smiles,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/bendigo-smiles/A11010342,,A11010342
Pacific Smiles Dental Bendigo,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/pacific-smiles-dental-bendigo/A12011095,,A12011095
Bee Happy Orthodontics,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/bee-happy-orthodontics/A11000783,,A11000783
Martin Vale Dentistry,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/martin-vale-dentistry/A11003667,,A11003667
Bendigo Health Dental Clinic,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/bendigo-health-dental-clinic/A11005828,,A11005828
Bendigo Family Dental Care,,,VIC,https://www.dentist.com.au/dentist-detail/vic/bendigo/bendigo-family-dental-care/A20015880,,A20015880
